DepartmentID,ShiftTypeName,Date
7,Afternoon,2026-03-15
7,Night,2026-03-15
8,Morning,2026-03-09
8,Afternoon,2026-03-09
8,Night,2026-03-09
8,Morning,2026-03-10
8,Afternoon,2026-03-10
8,Night,2026-03-10
8,Morning,2026-03-11
8,Afternoon,2026-03-11
8,Night,2026-03-11
8,Morning,2026-03-12
8,Afternoon,2026-03-12
8,Night,2026-03-12
8,Morning,2026-03-13
8,Afternoon,2026-03-13
8,Night,2026-03-13
8,Morning,2026-03-14
8,Afternoon,2026-03-14
8,Night,2026-03-14
8,Morning,2026-03-15
8,Afternoon,2026-03-15
8,Night,2026-03-15
9,Morning,2026-03-09
9,Afternoon,2026-03-09
9,Night,2026-03-09
9,Morning,2026-03-10
9,Afternoon,2026-03-10
9,Night,2026-03-10
9,Morning,2026-03-11
9,Afternoon,2026-03-11
9,Night,2026-03-11
9,Morning,2026-03-12
9,Afternoon,2026-03-12
9,Night,2026-03-12
9,Morning,2026-03-13
9,Afternoon,2026-03-13
9,Night,2026-03-13
9,Morning,2026-03-14
9,Afternoon,2026-03-14
9,Night,2026-03-14
9,Morning,2026-03-15
9,Afternoon,2026-03-15
9,Night,2026-03-15
10,Morning,2026-03-09
10,Afternoon,2026-03-09
10,Night,2026-03-09
10,Morning,2026-03-10
10,Afternoon,2026-03-10
10,Night,2026-03-10
10,Morning,2026-03-11
10,Afternoon,2026-03-11
10,Night,2026-03-11
10,Morning,2026-03-12
10,Afternoon,2026-03-12
10,Night,2026-03-12
10,Morning,2026-03-13
10,Afternoon,2026-03-13
10,Night,2026-03-13
10,Morning,2026-03-14
10,Afternoon,2026-03-14
10,Night,2026-03-14
10,Morning,2026-03-15
10,Afternoon,2026-03-15
10,Night,2026-03-15
11,Morning,2026-03-09
11,Afternoon,2026-03-09
11,Night,2026-03-09
11,Morning,2026-03-10
11,Afternoon,2026-03-10
11,Night,2026-03-10
11,Morning,2026-03-11
11,Afternoon,2026-03-11
11,Night,2026-03-11
11,Morning,2026-03-12
11,Afternoon,2026-03-12
11,Night,2026-03-12
11,Morning,2026-03-13
11,Afternoon,2026-03-13
11,Night,2026-03-13
11,Morning,2026-03-14
11,Afternoon,2026-03-14
11,Night,2026-03-14
11,Morning,2026-03-15
11,Afternoon,2026-03-15
11,Night,2026-03-15
12,Morning,2026-03-09
12,Afternoon,2026-03-09
12,Night,2026-03-09
12,Morning,2026-03-10
12,Afternoon,2026-03-10
12,Night,2026-03-10
12,Morning,2026-03-11
12,Afternoon,2026-03-11
12,Night,2026-03-11
12,Morning,2026-03-12
12,Afternoon,2026-03-12
12,Night,2026-03-12
12,Morning,2026-03-13
12,Afternoon,2026-03-13
12,Night,2026-03-13
12,Morning,2026-03-14
12,Afternoon,2026-03-14
12,Night,2026-03-14
12,Morning,2026-03-15
12,Afternoon,2026-03-15
12,Night,2026-03-15
13,Morning,2026-03-09
13,Afternoon,2026-03-09
13,Night,2026-03-09
13,Morning,2026-03-10
13,Afternoon,2026-03-10
13,Night,2026-03-10
13,Morning,2026-03-11
13,Afternoon,2026-03-11
13,Night,2026-03-11
13,Morning,2026-03-12
13,Afternoon,2026-03-12
13,Night,2026-03-12
13,Morning,2026-03-13
13,Afternoon,2026-03-13
13,Night,2026-03-13
13,Morning,2026-03-14
13,Afternoon,2026-03-14
13,Night,2026-03-14
13,Morning,2026-03-15
13,Afternoon,2026-03-15
13,Night,2026-03-15
14,Morning,2026-03-09
14,Afternoon,2026-03-09
14,Night,2026-03-09
14,Morning,2026-03-10
14,Afternoon,2026-03-10
14,Night,2026-03-10
14,Morning,2026-03-11
14,Afternoon,2026-03-11
14,Night,2026-03-11
14,Morning,2026-03-12
14,Afternoon,2026-03-12
14,Night,2026-03-12
14,Morning,2026-03-13
14,Afternoon,2026-03-13
14,Night,2026-03-13
14,Morning,2026-03-14
14,Afternoon,2026-03-14
14,Night,2026-03-14
14,Morning,2026-03-15
14,Afternoon,2026-03-15
14,Night,2026-03-15
15,Morning,2026-03-09
15,Afternoon,2026-03-09
15,Night,2026-03-09
15,Morning,2026-03-10
15,Afternoon,2026-03-10
15,Night,2026-03-10
15,Morning,2026-03-11
15,Afternoon,2026-03-11
15,Night,2026-03-11
15,Morning,2026-03-12
15,Afternoon,2026-03-12
15,Night,2026-03-12
15,Morning,2026-03-13
15,Afternoon,2026-03-13
15,Night,2026-03-13
15,Morning,2026-03-14
15,Afternoon,2026-03-14
15,Night,2026-03-14
15,Morning,2026-03-15
15,Afternoon,2026-03-15
15,Night,2026-03-15
