Date,ShiftType,Department,StaffCategory,SubClass,StaffCount
2026-03-10,Afternoon,Gastroenterology,Admin,Registrar,1
2026-03-10,Afternoon,Gastroenterology,Admin,Archivist,1
2026-03-10,Afternoon,Gastroenterology,Doctor,Gastroenterology,3
2026-03-10,Afternoon,Gastroenterology,Nurse,AssistantNurse,3
2026-03-10,Afternoon,Gastroenterology,Nurse,Nurse,3
2026-03-10,Morning,Gastroenterology,Admin,Secretary,1
2026-03-10,Morning,Gastroenterology,Admin,Accountant,1
2026-03-10,Morning,Gastroenterology,Doctor,Gastroenterology,2
2026-03-10,Morning,Gastroenterology,Nurse,HeadNurse,1
2026-03-10,Morning,Gastroenterology,Nurse,AssistantNurse,5
2026-03-10,Night,Gastroenterology,Admin,BillingOfficer,1
2026-03-10,Night,Gastroenterology,Admin,HRClerk,1
2026-03-10,Night,Gastroenterology,Doctor,Gastroenterology,2
2026-03-10,Night,Gastroenterology,Nurse,Nurse,6
2026-03-10,Afternoon,ICU,Admin,Registrar,1
2026-03-10,Afternoon,ICU,Admin,Archivist,1
2026-03-10,Afternoon,ICU,Doctor,IntensiveCare,2
2026-03-10,Afternoon,ICU,Nurse,AssistantNurse,3
2026-03-10,Afternoon,ICU,Nurse,Nurse,3
2026-03-10,Morning,ICU,Admin,Accountant,1
2026-03-10,Morning,ICU,Admin,Secretary,1
2026-03-10,Morning,ICU,Doctor,IntensiveCare,2
2026-03-10,Morning,ICU,Nurse,HeadNurse,1
2026-03-10,Morning,ICU,Nurse,AssistantNurse,5
2026-03-10,Night,ICU,Admin,HRClerk,1
2026-03-10,Night,ICU,Admin,BillingOfficer,1
2026-03-10,Night,ICU,Doctor,IntensiveCare,2
2026-03-10,Night,ICU,Nurse,Nurse,6
2026-03-10,Afternoon,"Internal Medicine",Admin,Archivist,1
2026-03-10,Afternoon,"Internal Medicine",Admin,Registrar,1
2026-03-10,Afternoon,"Internal Medicine",Doctor,InternalMed,2
2026-03-10,Afternoon,"Internal Medicine",Nurse,AssistantNurse,3
2026-03-10,Afternoon,"Internal Medicine",Nurse,Nurse,3
2026-03-10,Morning,"Internal Medicine",Admin,Accountant,1
2026-03-10,Morning,"Internal Medicine",Admin,Secretary,1
2026-03-10,Morning,"Internal Medicine",Doctor,InternalMed,2
2026-03-10,Morning,"Internal Medicine",Nurse,HeadNurse,1
2026-03-10,Morning,"Internal Medicine",Nurse,AssistantNurse,5
2026-03-10,Night,"Internal Medicine",Admin,HRClerk,1
2026-03-10,Night,"Internal Medicine",Admin,BillingOfficer,1
2026-03-10,Night,"Internal Medicine",Doctor,InternalMed,3
2026-03-10,Night,"Internal Medicine",Nurse,Nurse,6
2026-03-10,Afternoon,Nephrology,Admin,Registrar,1
2026-03-10,Afternoon,Nephrology,Admin,Archivist,1
2026-03-10,Afternoon,Nephrology,Doctor,Nephrology,2
2026-03-10,Afternoon,Nephrology,Nurse,Nurse,3
2026-03-10,Afternoon,Nephrology,Nurse,AssistantNurse,3
2026-03-10,Morning,Nephrology,Admin,Secretary,1
2026-03-10,Morning,Nephrology,Admin,Accountant,1
2026-03-10,Morning,Nephrology,Doctor,Nephrology,2
2026-03-10,Morning,Nephrology,Nurse,HeadNurse,1
2026-03-10,Morning,Nephrology,Nurse,AssistantNurse,5
2026-03-10,Night,Nephrology,Admin,BillingOfficer,1
2026-03-10,Night,Nephrology,Admin,HRClerk,1
2026-03-10,Night,Nephrology,Doctor,Nephrology,2
2026-03-10,Night,Nephrology,Nurse,Nurse,6
2026-03-10,Afternoon,Neurology,Admin,Registrar,1
2026-03-10,Afternoon,Neurology,Admin,Archivist,1
2026-03-10,Afternoon,Neurology,Doctor,Neurology,2
2026-03-10,Afternoon,Neurology,Nurse,AssistantNurse,3
2026-03-10,Afternoon,Neurology,Nurse,Nurse,3
2026-03-10,Morning,Neurology,Admin,Secretary,1
2026-03-10,Morning,Neurology,Admin,Accountant,1
2026-03-10,Morning,Neurology,Doctor,Neurology,2
2026-03-10,Morning,Neurology,Nurse,HeadNurse,1
2026-03-10,Morning,Neurology,Nurse,AssistantNurse,5
2026-03-10,Night,Neurology,Admin,BillingOfficer,1
2026-03-10,Night,Neurology,Admin,HRClerk,1
2026-03-10,Night,Neurology,Doctor,Neurology,2
2026-03-10,Night,Neurology,Nurse,Nurse,6
2026-03-10,Afternoon,Oncology,Admin,Registrar,1
2026-03-10,Afternoon,Oncology,Admin,Archivist,1
2026-03-10,Afternoon,Oncology,Doctor,Oncology,2
2026-03-10,Afternoon,Oncology,Nurse,Nurse,3
2026-03-10,Afternoon,Oncology,Nurse,AssistantNurse,3
2026-03-10,Morning,Oncology,Admin,Secretary,1
2026-03-10,Morning,Oncology,Admin,Accountant,1
2026-03-10,Morning,Oncology,Doctor,Oncology,2
2026-03-10,Morning,Oncology,Nurse,AssistantNurse,5
2026-03-10,Morning,Oncology,Nurse,HeadNurse,1
2026-03-10,Night,Oncology,Admin,BillingOfficer,1
2026-03-10,Night,Oncology,Admin,HRClerk,1
2026-03-10,Night,Oncology,Doctor,Oncology,2
2026-03-10,Night,Oncology,Nurse,Nurse,6
2026-03-10,Afternoon,Ophthalmology,Admin,Registrar,1
2026-03-10,Afternoon,Ophthalmology,Admin,Archivist,1
2026-03-10,Afternoon,Ophthalmology,Doctor,Ophthalmology,2
2026-03-10,Afternoon,Ophthalmology,Nurse,AssistantNurse,3
2026-03-10,Afternoon,Ophthalmology,Nurse,Nurse,3
2026-03-10,Morning,Ophthalmology,Admin,Secretary,1
2026-03-10,Morning,Ophthalmology,Admin,Accountant,1
2026-03-10,Morning,Ophthalmology,Doctor,Ophthalmology,3
2026-03-10,Morning,Ophthalmology,Nurse,HeadNurse,1
2026-03-10,Morning,Ophthalmology,Nurse,AssistantNurse,5
2026-03-10,Night,Ophthalmology,Admin,BillingOfficer,1
2026-03-10,Night,Ophthalmology,Admin,HRClerk,1
2026-03-10,Night,Ophthalmology,Doctor,Ophthalmology,2
2026-03-10,Night,Ophthalmology,Nurse,Nurse,6
2026-03-10,Afternoon,Orthopedics,Admin,Archivist,1
2026-03-10,Afternoon,Orthopedics,Admin,Registrar,1
2026-03-10,Afternoon,Orthopedics,Doctor,Orthopedics,2
2026-03-10,Afternoon,Orthopedics,Nurse,Nurse,3
2026-03-10,Afternoon,Orthopedics,Nurse,AssistantNurse,3
2026-03-10,Morning,Orthopedics,Admin,Secretary,1
2026-03-10,Morning,Orthopedics,Admin,Accountant,1
2026-03-10,Morning,Orthopedics,Doctor,Orthopedics,2
2026-03-10,Morning,Orthopedics,Nurse,AssistantNurse,5
2026-03-10,Morning,Orthopedics,Nurse,HeadNurse,1
2026-03-10,Night,Orthopedics,Admin,BillingOfficer,1
2026-03-10,Night,Orthopedics,Admin,HRClerk,1
2026-03-10,Night,Orthopedics,Doctor,Orthopedics,2
2026-03-10,Night,Orthopedics,Nurse,Nurse,6
2026-03-10,Afternoon,Pediatrics,Admin,Registrar,1
2026-03-10,Afternoon,Pediatrics,Admin,Archivist,1
2026-03-10,Afternoon,Pediatrics,Doctor,Pediatrics,2
2026-03-10,Afternoon,Pediatrics,Nurse,Nurse,3
2026-03-10,Afternoon,Pediatrics,Nurse,AssistantNurse,3
2026-03-10,Morning,Pediatrics,Admin,Secretary,1
2026-03-10,Morning,Pediatrics,Admin,Accountant,1
2026-03-10,Morning,Pediatrics,Doctor,Pediatrics,2
2026-03-10,Morning,Pediatrics,Nurse,HeadNurse,1
2026-03-10,Morning,Pediatrics,Nurse,AssistantNurse,5
2026-03-10,Night,Pediatrics,Admin,BillingOfficer,1
2026-03-10,Night,Pediatrics,Admin,HRClerk,1
2026-03-10,Night,Pediatrics,Doctor,Pediatrics,3
2026-03-10,Night,Pediatrics,Nurse,Nurse,6
2026-03-10,Afternoon,Psychiatry,Admin,Archivist,1
2026-03-10,Afternoon,Psychiatry,Admin,Registrar,1
2026-03-10,Afternoon,Psychiatry,Doctor,Psychiatry,2
2026-03-10,Afternoon,Psychiatry,Nurse,Nurse,3
2026-03-10,Afternoon,Psychiatry,Nurse,AssistantNurse,3
2026-03-10,Morning,Psychiatry,Admin,Accountant,1
2026-03-10,Morning,Psychiatry,Admin,Secretary,1
2026-03-10,Morning,Psychiatry,Doctor,Psychiatry,2
2026-03-10,Morning,Psychiatry,Nurse,HeadNurse,1
2026-03-10,Morning,Psychiatry,Nurse,AssistantNurse,5
2026-03-10,Night,Psychiatry,Admin,HRClerk,1
2026-03-10,Night,Psychiatry,Admin,BillingOfficer,1
2026-03-10,Night,Psychiatry,Doctor,Psychiatry,3
2026-03-10,Night,Psychiatry,Nurse,Nurse,6
2026-03-10,Afternoon,Pulmonology,Admin,Archivist,1
2026-03-10,Afternoon,Pulmonology,Admin,Registrar,1
2026-03-10,Afternoon,Pulmonology,Doctor,Pulmonology,2
2026-03-10,Afternoon,Pulmonology,Nurse,AssistantNurse,3
2026-03-10,Afternoon,Pulmonology,Nurse,Nurse,3
2026-03-10,Morning,Pulmonology,Admin,Accountant,1
2026-03-10,Morning,Pulmonology,Admin,Secretary,1
2026-03-10,Morning,Pulmonology,Doctor,Pulmonology,2
2026-03-10,Morning,Pulmonology,Nurse,HeadNurse,1
2026-03-10,Morning,Pulmonology,Nurse,AssistantNurse,5
2026-03-10,Night,Pulmonology,Admin,BillingOfficer,1
2026-03-10,Night,Pulmonology,Admin,HRClerk,1
2026-03-10,Night,Pulmonology,Doctor,Pulmonology,2
2026-03-10,Night,Pulmonology,Nurse,Nurse,6
2026-03-10,Afternoon,Surgery,Admin,Archivist,1
2026-03-10,Afternoon,Surgery,Admin,Registrar,1
2026-03-10,Afternoon,Surgery,Doctor,Surgery,2
2026-03-10,Afternoon,Surgery,Nurse,AssistantNurse,3
2026-03-10,Afternoon,Surgery,Nurse,Nurse,3
2026-03-10,Morning,Surgery,Admin,Secretary,1
2026-03-10,Morning,Surgery,Admin,Accountant,1
2026-03-10,Morning,Surgery,Doctor,Surgery,2
2026-03-10,Morning,Surgery,Nurse,AssistantNurse,5
2026-03-10,Morning,Surgery,Nurse,HeadNurse,1
2026-03-10,Night,Surgery,Admin,BillingOfficer,1
2026-03-10,Night,Surgery,Admin,HRClerk,1
2026-03-10,Night,Surgery,Doctor,Surgery,2
2026-03-10,Night,Surgery,Nurse,Nurse,6
2026-03-11,Afternoon,Cardiology,Admin,Registrar,1
2026-03-11,Afternoon,Cardiology,Admin,Archivist,1
2026-03-11,Afternoon,Cardiology,Doctor,Cardiology,2
2026-03-11,Afternoon,Cardiology,Nurse,Nurse,3
2026-03-11,Afternoon,Cardiology,Nurse,AssistantNurse,3
2026-03-11,Morning,Cardiology,Admin,Secretary,1
2026-03-11,Morning,Cardiology,Admin,Accountant,1
2026-03-11,Morning,Cardiology,Doctor,Cardiology,2
2026-03-11,Morning,Cardiology,Nurse,AssistantNurse,5
2026-03-11,Morning,Cardiology,Nurse,HeadNurse,1
2026-03-11,Night,Cardiology,Admin,BillingOfficer,1
2026-03-11,Night,Cardiology,Admin,HRClerk,1
2026-03-11,Night,Cardiology,Doctor,Cardiology,3
2026-03-11,Night,Cardiology,Nurse,Nurse,6
2026-03-11,Afternoon,Emergency,Admin,Archivist,1
2026-03-11,Afternoon,Emergency,Admin,Registrar,1
2026-03-11,Afternoon,Emergency,Doctor,EmergencyMed,3
2026-03-11,Afternoon,Emergency,Nurse,AssistantNurse,3
2026-03-11,Afternoon,Emergency,Nurse,Nurse,3
2026-03-11,Morning,Emergency,Admin,Secretary,1
2026-03-11,Morning,Emergency,Admin,Accountant,1
2026-03-11,Morning,Emergency,Doctor,EmergencyMed,3
2026-03-11,Morning,Emergency,Nurse,AssistantNurse,5
2026-03-11,Morning,Emergency,Nurse,HeadNurse,1
2026-03-11,Night,Emergency,Admin,HRClerk,1
2026-03-11,Night,Emergency,Admin,BillingOfficer,1
2026-03-11,Night,Emergency,Doctor,EmergencyMed,3
2026-03-11,Night,Emergency,Nurse,Nurse,6
2026-03-11,Afternoon,ENT,Admin,Archivist,1
2026-03-11,Afternoon,ENT,Admin,Registrar,1
2026-03-11,Afternoon,ENT,Doctor,ENT,2
2026-03-11,Afternoon,ENT,Nurse,Nurse,3
2026-03-11,Afternoon,ENT,Nurse,AssistantNurse,3
2026-03-11,Morning,ENT,Admin,Accountant,1
2026-03-11,Morning,ENT,Admin,Secretary,1
2026-03-11,Morning,ENT,Doctor,ENT,2
2026-03-11,Morning,ENT,Nurse,HeadNurse,1
2026-03-11,Morning,ENT,Nurse,AssistantNurse,5
2026-03-11,Night,ENT,Admin,HRClerk,1
2026-03-11,Night,ENT,Admin,BillingOfficer,1
2026-03-11,Night,ENT,Doctor,ENT,3
2026-03-11,Night,ENT,Nurse,Nurse,6
2026-03-11,Afternoon,Gastroenterology,Admin,Archivist,1
2026-03-11,Afternoon,Gastroenterology,Admin,Registrar,1
2026-03-11,Afternoon,Gastroenterology,Doctor,Gastroenterology,3
2026-03-11,Afternoon,Gastroenterology,Nurse,AssistantNurse,3
2026-03-11,Afternoon,Gastroenterology,Nurse,Nurse,3
2026-03-11,Morning,Gastroenterology,Admin,Accountant,1
2026-03-11,Morning,Gastroenterology,Admin,Secretary,1
2026-03-11,Morning,Gastroenterology,Doctor,Gastroenterology,2
2026-03-11,Morning,Gastroenterology,Nurse,HeadNurse,1
2026-03-11,Morning,Gastroenterology,Nurse,AssistantNurse,5
2026-03-11,Night,Gastroenterology,Admin,HRClerk,1
2026-03-11,Night,Gastroenterology,Admin,BillingOfficer,1
2026-03-11,Night,Gastroenterology,Doctor,Gastroenterology,2
2026-03-11,Night,Gastroenterology,Nurse,Nurse,6
2026-03-11,Afternoon,ICU,Admin,Registrar,1
2026-03-11,Afternoon,ICU,Admin,Archivist,1
2026-03-11,Afternoon,ICU,Doctor,IntensiveCare,2
2026-03-11,Afternoon,ICU,Nurse,Nurse,3
2026-03-11,Afternoon,ICU,Nurse,AssistantNurse,3
2026-03-11,Morning,ICU,Admin,Accountant,1
2026-03-11,Morning,ICU,Admin,Secretary,1
2026-03-11,Morning,ICU,Doctor,IntensiveCare,2
2026-03-11,Morning,ICU,Nurse,HeadNurse,1
2026-03-11,Morning,ICU,Nurse,AssistantNurse,5
2026-03-11,Night,ICU,Admin,BillingOfficer,1
2026-03-11,Night,ICU,Admin,HRClerk,1
2026-03-11,Night,ICU,Doctor,IntensiveCare,2
2026-03-11,Night,ICU,Nurse,Nurse,6
2026-03-11,Afternoon,"Internal Medicine",Admin,Archivist,1
2026-03-11,Afternoon,"Internal Medicine",Admin,Registrar,1
2026-03-11,Afternoon,"Internal Medicine",Doctor,InternalMed,2
2026-03-11,Afternoon,"Internal Medicine",Nurse,AssistantNurse,3
2026-03-11,Afternoon,"Internal Medicine",Nurse,Nurse,3
2026-03-11,Morning,"Internal Medicine",Admin,Accountant,1
2026-03-11,Morning,"Internal Medicine",Admin,Secretary,1
2026-03-11,Morning,"Internal Medicine",Doctor,InternalMed,2
2026-03-11,Morning,"Internal Medicine",Nurse,HeadNurse,1
2026-03-11,Morning,"Internal Medicine",Nurse,AssistantNurse,5
2026-03-11,Night,"Internal Medicine",Admin,BillingOfficer,1
2026-03-11,Night,"Internal Medicine",Admin,HRClerk,1
2026-03-11,Night,"Internal Medicine",Doctor,InternalMed,3
2026-03-11,Night,"Internal Medicine",Nurse,Nurse,6
2026-03-11,Afternoon,Nephrology,Admin,Registrar,1
2026-03-11,Afternoon,Nephrology,Admin,Archivist,1
2026-03-11,Afternoon,Nephrology,Doctor,Nephrology,2
2026-03-11,Afternoon,Nephrology,Nurse,Nurse,3
2026-03-11,Afternoon,Nephrology,Nurse,AssistantNurse,3
2026-03-11,Morning,Nephrology,Admin,Secretary,1
2026-03-11,Morning,Nephrology,Admin,Accountant,1
2026-03-11,Morning,Nephrology,Doctor,Nephrology,2
2026-03-11,Morning,Nephrology,Nurse,AssistantNurse,5
2026-03-11,Morning,Nephrology,Nurse,HeadNurse,1
2026-03-11,Night,Nephrology,Admin,BillingOfficer,1
2026-03-11,Night,Nephrology,Admin,HRClerk,1
2026-03-11,Night,Nephrology,Doctor,Nephrology,2
2026-03-11,Night,Nephrology,Nurse,Nurse,6
2026-03-11,Afternoon,Neurology,Admin,Registrar,1
2026-03-11,Afternoon,Neurology,Admin,Archivist,1
2026-03-11,Afternoon,Neurology,Doctor,Neurology,2
2026-03-11,Afternoon,Neurology,Nurse,Nurse,3
2026-03-11,Afternoon,Neurology,Nurse,AssistantNurse,3
2026-03-11,Morning,Neurology,Admin,Accountant,1
2026-03-11,Morning,Neurology,Admin,Secretary,1
2026-03-11,Morning,Neurology,Doctor,Neurology,2
2026-03-11,Morning,Neurology,Nurse,HeadNurse,1
2026-03-11,Morning,Neurology,Nurse,AssistantNurse,5
2026-03-11,Night,Neurology,Admin,BillingOfficer,1
2026-03-11,Night,Neurology,Admin,HRClerk,1
2026-03-11,Night,Neurology,Doctor,Neurology,2
2026-03-11,Night,Neurology,Nurse,Nurse,6
2026-03-11,Afternoon,Oncology,Admin,Registrar,1
2026-03-11,Afternoon,Oncology,Admin,Archivist,1
2026-03-11,Afternoon,Oncology,Doctor,Oncology,2
2026-03-11,Afternoon,Oncology,Nurse,Nurse,3
2026-03-11,Afternoon,Oncology,Nurse,AssistantNurse,3
2026-03-11,Morning,Oncology,Admin,Secretary,1
2026-03-11,Morning,Oncology,Admin,Accountant,1
2026-03-11,Morning,Oncology,Doctor,Oncology,2
2026-03-11,Morning,Oncology,Nurse,HeadNurse,1
2026-03-11,Morning,Oncology,Nurse,AssistantNurse,5
2026-03-11,Night,Oncology,Admin,BillingOfficer,1
2026-03-11,Night,Oncology,Admin,HRClerk,1
2026-03-11,Night,Oncology,Doctor,Oncology,2
2026-03-11,Night,Oncology,Nurse,Nurse,6
2026-03-11,Afternoon,Ophthalmology,Admin,Archivist,1
2026-03-11,Afternoon,Ophthalmology,Admin,Registrar,1
2026-03-11,Afternoon,Ophthalmology,Doctor,Ophthalmology,2
2026-03-11,Afternoon,Ophthalmology,Nurse,Nurse,3
2026-03-11,Afternoon,Ophthalmology,Nurse,AssistantNurse,3
2026-03-11,Morning,Ophthalmology,Admin,Secretary,1
2026-03-11,Morning,Ophthalmology,Admin,Accountant,1
2026-03-11,Morning,Ophthalmology,Doctor,Ophthalmology,3
2026-03-11,Morning,Ophthalmology,Nurse,AssistantNurse,5
2026-03-11,Morning,Ophthalmology,Nurse,HeadNurse,1
2026-03-11,Night,Ophthalmology,Admin,BillingOfficer,1
2026-03-11,Night,Ophthalmology,Admin,HRClerk,1
2026-03-11,Night,Ophthalmology,Doctor,Ophthalmology,2
2026-03-11,Night,Ophthalmology,Nurse,Nurse,6
2026-03-11,Afternoon,Orthopedics,Admin,Registrar,1
2026-03-11,Afternoon,Orthopedics,Admin,Archivist,1
2026-03-11,Afternoon,Orthopedics,Doctor,Orthopedics,2
2026-03-11,Afternoon,Orthopedics,Nurse,AssistantNurse,3
2026-03-11,Afternoon,Orthopedics,Nurse,Nurse,3
2026-03-11,Morning,Orthopedics,Admin,Accountant,1
2026-03-11,Morning,Orthopedics,Admin,Secretary,1
2026-03-11,Morning,Orthopedics,Doctor,Orthopedics,2
2026-03-11,Morning,Orthopedics,Nurse,AssistantNurse,5
2026-03-11,Morning,Orthopedics,Nurse,HeadNurse,1
2026-03-11,Night,Orthopedics,Admin,HRClerk,1
2026-03-11,Night,Orthopedics,Admin,BillingOfficer,1
2026-03-11,Night,Orthopedics,Doctor,Orthopedics,2
2026-03-11,Night,Orthopedics,Nurse,Nurse,6
2026-03-11,Afternoon,Pediatrics,Admin,Archivist,1
2026-03-11,Afternoon,Pediatrics,Admin,Registrar,1
2026-03-11,Afternoon,Pediatrics,Doctor,Pediatrics,2
2026-03-11,Afternoon,Pediatrics,Nurse,Nurse,3
2026-03-11,Afternoon,Pediatrics,Nurse,AssistantNurse,3
2026-03-11,Morning,Pediatrics,Admin,Secretary,1
2026-03-11,Morning,Pediatrics,Admin,Accountant,1
2026-03-11,Morning,Pediatrics,Doctor,Pediatrics,2
2026-03-11,Morning,Pediatrics,Nurse,AssistantNurse,5
2026-03-11,Morning,Pediatrics,Nurse,HeadNurse,1
2026-03-11,Night,Pediatrics,Admin,BillingOfficer,1
2026-03-11,Night,Pediatrics,Admin,HRClerk,1
2026-03-11,Night,Pediatrics,Doctor,Pediatrics,3
2026-03-11,Night,Pediatrics,Nurse,Nurse,6
2026-03-11,Afternoon,Psychiatry,Admin,Archivist,1
2026-03-11,Afternoon,Psychiatry,Admin,Registrar,1
2026-03-11,Afternoon,Psychiatry,Doctor,Psychiatry,2
2026-03-11,Afternoon,Psychiatry,Nurse,AssistantNurse,3
2026-03-11,Afternoon,Psychiatry,Nurse,Nurse,3
2026-03-11,Morning,Psychiatry,Admin,Accountant,1
2026-03-11,Morning,Psychiatry,Admin,Secretary,1
2026-03-11,Morning,Psychiatry,Doctor,Psychiatry,2
2026-03-11,Morning,Psychiatry,Nurse,HeadNurse,1
2026-03-11,Morning,Psychiatry,Nurse,AssistantNurse,5
2026-03-11,Night,Psychiatry,Admin,BillingOfficer,1
2026-03-11,Night,Psychiatry,Admin,HRClerk,1
2026-03-11,Night,Psychiatry,Doctor,Psychiatry,3
2026-03-11,Night,Psychiatry,Nurse,Nurse,6
2026-03-11,Afternoon,Pulmonology,Admin,Registrar,1
2026-03-11,Afternoon,Pulmonology,Admin,Archivist,1
2026-03-11,Afternoon,Pulmonology,Doctor,Pulmonology,2
2026-03-11,Afternoon,Pulmonology,Nurse,Nurse,3
2026-03-11,Afternoon,Pulmonology,Nurse,AssistantNurse,3
2026-03-11,Morning,Pulmonology,Admin,Accountant,1
2026-03-11,Morning,Pulmonology,Admin,Secretary,1
2026-03-11,Morning,Pulmonology,Doctor,Pulmonology,2
2026-03-11,Morning,Pulmonology,Nurse,AssistantNurse,5
2026-03-11,Morning,Pulmonology,Nurse,HeadNurse,1
2026-03-11,Night,Pulmonology,Admin,HRClerk,1
2026-03-11,Night,Pulmonology,Admin,BillingOfficer,1
2026-03-11,Night,Pulmonology,Doctor,Pulmonology,2
2026-03-11,Night,Pulmonology,Nurse,Nurse,6
2026-03-11,Afternoon,Surgery,Admin,Registrar,1
2026-03-11,Afternoon,Surgery,Admin,Archivist,1
2026-03-11,Afternoon,Surgery,Doctor,Surgery,2
2026-03-11,Afternoon,Surgery,Nurse,AssistantNurse,3
2026-03-11,Afternoon,Surgery,Nurse,Nurse,3
2026-03-11,Morning,Surgery,Admin,Accountant,1
2026-03-11,Morning,Surgery,Admin,Secretary,1
2026-03-11,Morning,Surgery,Doctor,Surgery,2
2026-03-11,Morning,Surgery,Nurse,HeadNurse,1
2026-03-11,Morning,Surgery,Nurse,AssistantNurse,5
2026-03-11,Night,Surgery,Admin,BillingOfficer,1
2026-03-11,Night,Surgery,Admin,HRClerk,1
2026-03-11,Night,Surgery,Doctor,Surgery,2
2026-03-11,Night,Surgery,Nurse,Nurse,6
2026-03-12,Afternoon,Cardiology,Admin,Registrar,1
2026-03-12,Afternoon,Cardiology,Admin,Archivist,1
2026-03-12,Afternoon,Cardiology,Doctor,Cardiology,2
2026-03-12,Afternoon,Cardiology,Nurse,Nurse,3
2026-03-12,Afternoon,Cardiology,Nurse,AssistantNurse,3
2026-03-12,Morning,Cardiology,Admin,Accountant,1
2026-03-12,Morning,Cardiology,Admin,Secretary,1
2026-03-12,Morning,Cardiology,Doctor,Cardiology,2
2026-03-12,Morning,Cardiology,Nurse,HeadNurse,1
2026-03-12,Morning,Cardiology,Nurse,AssistantNurse,5
2026-03-12,Night,Cardiology,Admin,Scheduler,1
2026-03-12,Night,Cardiology,Admin,RecordsClerk,1
2026-03-12,Night,Cardiology,Doctor,Cardiology,2
2026-03-12,Night,Cardiology,Nurse,Nurse,6
2026-03-12,Afternoon,Emergency,Admin,Archivist,1
2026-03-12,Afternoon,Emergency,Admin,Registrar,1
2026-03-12,Afternoon,Emergency,Doctor,EmergencyMed,3
2026-03-12,Afternoon,Emergency,Nurse,AssistantNurse,3
2026-03-12,Afternoon,Emergency,Nurse,Nurse,3
2026-03-12,Morning,Emergency,Admin,Secretary,1
2026-03-12,Morning,Emergency,Admin,Accountant,1
2026-03-12,Morning,Emergency,Doctor,EmergencyMed,3
2026-03-12,Morning,Emergency,Nurse,HeadNurse,1
2026-03-12,Morning,Emergency,Nurse,AssistantNurse,5
2026-03-12,Night,Emergency,Admin,Scheduler,1
2026-03-12,Night,Emergency,Admin,RecordsClerk,1
2026-03-12,Night,Emergency,Doctor,EmergencyMed,3
2026-03-12,Night,Emergency,Nurse,Nurse,6
2026-03-12,Afternoon,ENT,Admin,Registrar,1
2026-03-12,Afternoon,ENT,Admin,Archivist,1
2026-03-12,Afternoon,ENT,Doctor,ENT,2
2026-03-12,Afternoon,ENT,Nurse,Nurse,3
2026-03-12,Afternoon,ENT,Nurse,AssistantNurse,3
2026-03-12,Morning,ENT,Admin,Accountant,1
2026-03-12,Morning,ENT,Admin,Secretary,1
2026-03-12,Morning,ENT,Doctor,ENT,2
2026-03-12,Morning,ENT,Nurse,HeadNurse,1
2026-03-12,Morning,ENT,Nurse,AssistantNurse,5
2026-03-12,Night,ENT,Admin,RecordsClerk,1
2026-03-12,Night,ENT,Admin,Scheduler,1
