Name	Year	KENcode	BaseCost	ExtraCost	TotalRevenue	InsuranceProviderName	HospitalizationCount
ICU	2026	Ω34Α	1440	3456.00	4896.00	StudentFund	5
Cardiology	2026	Θ04Μ	30646	6019.75	36665.75	StudentFund	7
Nephrology	2026	Ο23Α	3360	3150.00	6510.00	PrivateHealth	8
Pediatrics	2026	Υ22Μ	4413	1470.98	5883.98	PrivateHealth	3
Pediatrics	2026	Δ12Μ	43839	3176.70	47015.70	PrivateHealth	9
Emergency	2026	Ε10Α	940090	20890.92	960980.92	ArmyFund	10
Gastroenterology	2026	Ω04Χ	5802	7736.00	13538.00	ArmyFund	3
ENT	2026	Α34Μβ	11144	4975.00	16119.00	ArmyFund	8
Psychiatry	2025	Κ11Χ	32230	2762.52	34992.52	ArmyFund	10
Emergency	2025	Ε10Α	564054	26113.65	590167.65	StudentFund	6
Gastroenterology	2025	Κ39Μ	7608	211.33	7819.33	EFKA	6
Surgery	2025	Φ26Χ	4140	4140.00	8280.00	PrivateHealth	5
Pediatrics	2025	Κ12Χ	7388	6464.50	13852.50	EFKA	2
ICU	2025	Τ27Χ	1284	713.35	1997.35	EFKA	3
Gastroenterology	2026	Υ05Χ	11000	7999.92	18999.92	EFKA	11
Pediatrics	2026	Υ22Μ	4413	0.00	4413.00	Uninsured	3
Nephrology	2026	Ο23Α	4200	3150.00	7350.00	Uninsured	10
Cardiology	2026	Υ22Μ	7355	1260.84	8615.84	PrivateHealth	5
Cardiology	2025	Θ04Μ	43780	10397.75	54177.75	EFKA	10
Orthopedics	2025	Χ44Α	3456	1151.99	4607.99	Uninsured	3
ENT	2025	Μ09Μ	44160	817.78	44977.78	EFKA	3
ENT	2025	Α34Μβ	11144	2189.00	13333.00	EFKA	8
ENT	2025	Μ78Μ	17556	5669.28	23225.28	EFKA	12
Pulmonology	2025	Μ64Χ	9400	734.40	10134.40	StudentFund	8
Emergency	2026	Π42Α	2194	0.00	2194.00	EFKA	2
Oncology	2026	Ν23Α	10545	1946.76	12491.76	StudentFund	5
ICU	2026	S24Χ	432	432.00	864.00	ArmyFund	2
Internal Medicine	2026	Η20Μ	35610	10359.36	45969.36	EFKA	10
Emergency	2026	Κ42Μ	16432	0.00	16432.00	StudentFund	8
Psychiatry	2026	Α12Μ	11952	937.40	12889.40	StudentFund	3
Gastroenterology	2025	Θ09Χβ	5295	1176.66	6471.66	EFKA	3
Nephrology	2025	Σ03Μ	60970	7011.55	67981.55	StudentFund	10
Internal Medicine	2025	Η20Μ	21366	3884.76	25250.76	EFKA	6
ENT	2026	Μ07Α	10470	249.29	10719.29	EFKA	2
Pediatrics	2026	Δ20Μ	24021	3669.82	27690.82	EFKA	9
Cardiology	2026	Η08Μ	2111	0.00	2111.00	EFKA	1
Internal Medicine	2026	Π28Α	1740	2610.00	4350.00	PrivateHealth	6
Ophthalmology	2026	Κ42Μ	12324	1232.40	13556.40	PrivateHealth	6
Neurology	2026	Β01Χ	14460	7230.00	21690.00	StudentFund	5
Cardiology	2025	Χ20Α	444	888.00	1332.00	StudentFund	3
Oncology	2025	Κ03Μ	46287	670.83	46957.83	PrivateHealth	3
Cardiology	2025	Α10Χ	37016	8675.70	45691.70	ArmyFund	8
Nephrology	2025	Ο23Α	4200	2310.00	6510.00	Uninsured	10
Internal Medicine	2025	Η20Μ	21366	0.00	21366.00	PrivateHealth	6
Gastroenterology	2025	Υ05Χ	6000	4666.62	10666.62	Uninsured	6
ICU	2026	Ω34Α	2880	4896.00	7776.00	ArmyFund	10
Psychiatry	2026	Σ03Χ	2198	366.33	2564.33	Uninsured	2
Emergency	2026	Ε10Α	846081	24372.74	870453.74	PrivateHealth	9
Orthopedics	2026	Μ04Μ	35210	4694.64	39904.64	StudentFund	5
ENT	2026	Π06Α	2074	1037.01	3111.01	PrivateHealth	2
Orthopedics	2026	Ω12Α	2838	5676.00	8514.00	EFKA	3
ENT	2025	Α34Μβ	12537	3980.00	16517.00	Uninsured	9
Psychiatry	2025	Α12Μ	7968	234.35	8202.35	EFKA	2
Cardiology	2025	Κ12Χ	14776	12005.50	26781.50	EFKA	4
ENT	2025	Μ78Μ	8778	4937.76	13715.76	Uninsured	6
Pulmonology	2025	Ν30Μβ	13020	2480.04	15500.04	PrivateHealth	7
Orthopedics	2026	Μ04Μ	42252	6259.52	48511.52	PrivateHealth	6
ICU	2026	S24Χ	648	1728.00	2376.00	EFKA	3
Emergency	2026	Π42Α	1097	0.00	1097.00	Uninsured	1
Oncology	2026	Ν23Α	12654	1297.84	13951.84	EFKA	6
Nephrology	2026	Σ03Μ	42679	2438.80	45117.80	EFKA	7
Emergency	2025	S01Μ	2413	402.17	2815.17	EFKA	1
Neurology	2025	Α02Χ	5464	7513.00	12977.00	EFKA	8
Orthopedics	2025	Μ04Μ	49294	12519.04	61813.04	EFKA	7
Pulmonology	2025	Ρ05Χ	2140	0.00	2140.00	EFKA	1
Oncology	2025	Ν23Α	10545	162.23	10707.23	EFKA	5
ENT	2025	Π06Α	1037	345.67	1382.67	EFKA	1
Nephrology	2025	Ο23Α	3360	2940.00	6300.00	EFKA	8
Psychiatry	2025	Ε12Α	70554	47036.00	117590.00	EFKA	11
Surgery	2026	Δ01Χ	6452	1433.78	7885.78	EFKA	1
Emergency	2026	Κ42Μ	22594	0.00	22594.00	EFKA	11
Orthopedics	2026	Μ05Χ	30505	14642.40	45147.40	EFKA	5
Pulmonology	2026	Ρ05Χ	6420	4280.04	10700.04	EFKA	3
Oncology	2026	Ν30Α	2520	840.00	3360.00	EFKA	6
Pediatrics	2026	Κ12Χ	18470	7388.00	25858.00	EFKA	5
Ophthalmology	2026	Ρ01Α	4873	7531.00	12404.00	EFKA	11
ENT	2026	Π06Α	4148	3111.03	7259.03	EFKA	4
Internal Medicine	2026	Β04Α	3912	5216.00	9128.00	EFKA	6
Cardiology	2025	Α10Χ	32389	15616.26	48005.26	EFKA	7
Emergency	2025	Υ20Μβ	1300	1733.36	3033.36	EFKA	1
Orthopedics	2025	Ζ02Μ	72250	6823.63	79073.63	EFKA	10
Pulmonology	2025	Μ64Χ	14100	5434.56	19534.56	EFKA	12
Oncology	2025	Κ03Μ	46287	8049.96	54336.96	EFKA	3
Psychiatry	2025	Η06Χ	3112	4045.60	7157.60	EFKA	2
Cardiology	2026	Θ04Μ	26268	11492.25	37760.25	EFKA	6
Surgery	2026	Π47Χ	1005	502.50	1507.50	EFKA	3
ICU	2026	Κ35Μ	3004	1072.85	4076.85	EFKA	2
Neurology	2026	Κ39Χ	981	490.50	1471.50	EFKA	3
Orthopedics	2026	Μ04Μ	49294	27385.40	76679.40	EFKA	7
Pulmonology	2026	Μ64Χ	5875	1909.44	7784.44	EFKA	5
Gastroenterology	2026	Θ09Χβ	1765	0.00	1765.00	EFKA	1
Oncology	2026	Κ03Μ	92574	13416.60	105990.60	EFKA	6
Pediatrics	2026	Δ12Μ	29226	2117.80	31343.80	EFKA	6
ENT	2026	Μ78Μ	14630	4572.00	19202.00	EFKA	10
Emergency	2025	Κ42Μ	18486	0.00	18486.00	EFKA	9
Neurology	2025	Κ39Χ	654	981.00	1635.00	EFKA	2
Oncology	2025	Κ10Χ	27240	23835.00	51075.00	EFKA	10
Nephrology	2025	Σ03Μ	36582	2133.95	38715.95	EFKA	6
ICU	2026	Ω34Α	1728	2304.00	4032.00	EFKA	6
Pulmonology	2026	Ξ20Χα	1572	524.00	2096.00	EFKA	2
Ophthalmology	2026	Δ07Α	1815	1210.00	3025.00	EFKA	3
Nephrology	2026	Α35Χ	3325	2612.50	5937.50	EFKA	7
Psychiatry	2026	Κ11Χ	19338	5985.46	25323.46	EFKA	6
Internal Medicine	2026	Π28Α	1450	2320.00	3770.00	EFKA	5
Cardiology	2025	Η08Μ	8444	2110.98	10554.98	PrivateHealth	4
Surgery	2025	Θ08Α	4760	10472.00	15232.00	PrivateHealth	5
Emergency	2025	Κ42Μ	12324	0.00	12324.00	PrivateHealth	6
Neurology	2025	Β01Χ	17352	8676.00	26028.00	PrivateHealth	6
Orthopedics	2025	Ω12Α	3784	6622.00	10406.00	PrivateHealth	4
Pulmonology	2025	Ν27Μβ	7842	1143.66	8985.66	PrivateHealth	6
Gastroenterology	2025	Ω04Χ	9670	4835.00	14505.00	PrivateHealth	5
Oncology	2025	Κ10Χ	27240	11577.00	38817.00	PrivateHealth	10
Pediatrics	2025	Υ22Μ	1471	0.00	1471.00	PrivateHealth	1
Ophthalmology	2025	Ρ01Α	4873	8860.00	13733.00	PrivateHealth	11
ENT	2025	Μ09Μ	88320	3271.12	91591.12	PrivateHealth	6
Nephrology	2025	Μ01Μ	56080	3925.60	60005.60	PrivateHealth	4
Psychiatry	2025	Κ11Χ	32230	5755.25	37985.25	PrivateHealth	10
Internal Medicine	2025	Ο13Α	1008	0.00	1008.00	PrivateHealth	3
Cardiology	2026	Α10Χ	60151	22556.82	82707.82	PrivateHealth	13
Surgery	2026	Γ06Μ	4947	1236.75	6183.75	PrivateHealth	3
ICU	2026	Κ32Μ	26806	5155.00	31961.00	PrivateHealth	13
Emergency	2026	Κ42Μ	20540	0.00	20540.00	PrivateHealth	10
Neurology	2026	Α02Χ	4781	6830.00	11611.00	PrivateHealth	7
Orthopedics	2026	Μ71Χ	1620	1620.00	3240.00	PrivateHealth	4
Pulmonology	2026	Μ64Χ	8225	881.28	9106.28	PrivateHealth	7
Gastroenterology	2026	Θ09Χβ	5295	1176.66	6471.66	PrivateHealth	3
Oncology	2026	Ν30Α	1680	420.00	2100.00	PrivateHealth	4
Ophthalmology	2026	Ν24Μ	9556	2756.55	12312.55	PrivateHealth	4
ENT	2026	Μ78Μ	13167	3474.72	16641.72	PrivateHealth	9
Psychiatry	2026	Κ11Χ	22561	1381.26	23942.26	PrivateHealth	7
Internal Medicine	2026	Η20Μ	21366	3237.30	24603.30	PrivateHealth	6
Cardiology	2025	Θ04Μ	43780	8756.00	52536.00	PrivateHealth	10
Emergency	2025	Ε10Α	658063	22631.83	680694.83	PrivateHealth	7
Neurology	2025	Α02Χ	4098	6830.00	10928.00	PrivateHealth	6
Orthopedics	2025	Μ04Μ	56336	21908.32	78244.32	PrivateHealth	8
Pulmonology	2025	Μ64Χ	11750	2056.32	13806.32	PrivateHealth	10
Gastroenterology	2025	Θ09Χβ	7060	2941.65	10001.65	PrivateHealth	4
Pediatrics	2025	Δ12Μ	53581	6565.18	60146.18	PrivateHealth	11
Ophthalmology	2025	Ρ05Μβ	6100	1016.67	7116.67	PrivateHealth	2
Psychiatry	2025	Ε12Α	38484	21380.00	59864.00	PrivateHealth	6
Internal Medicine	2025	Ν02Μα	15460	3006.08	18466.08	PrivateHealth	2
Cardiology	2026	Θ04Μ	26268	2189.00	28457.00	PrivateHealth	6
Surgery	2026	Φ26Χ	2484	2070.00	4554.00	PrivateHealth	3
Neurology	2026	Β01Χ	20244	7953.00	28197.00	PrivateHealth	7
Orthopedics	2026	Ζ02Μ	43350	9231.97	52581.97	PrivateHealth	6
Gastroenterology	2026	Ω04Χ	11604	6769.00	18373.00	PrivateHealth	6
Oncology	2026	Κ10Χ	24516	12258.00	36774.00	PrivateHealth	9
Ophthalmology	2026	Δ25Χ	350	350.00	700.00	PrivateHealth	1
Nephrology	2026	Σ03Μ	54873	7621.25	62494.25	PrivateHealth	9
Internal Medicine	2026	Β04Α	4564	6520.00	11084.00	PrivateHealth	7
Cardiology	2025	Χ20Α	592	1184.00	1776.00	PrivateHealth	4
ICU	2025	S24Χ	216	432.00	648.00	PrivateHealth	1
Neurology	2025	Κ39Χ	2289	1144.50	3433.50	PrivateHealth	7
Orthopedics	2025	Μ71Χ	810	405.00	1215.00	PrivateHealth	2
Oncology	2025	Ν23Α	4218	1297.84	5515.84	PrivateHealth	2
Pediatrics	2025	Κ12Χ	14776	2770.50	17546.50	PrivateHealth	4
Ophthalmology	2025	Ν24Μ	9556	2205.24	11761.24	PrivateHealth	4
Nephrology	2025	Σ03Μ	48776	7011.55	55787.55	PrivateHealth	8
Surgery	2026	Π27Μ	22689	5041.92	27730.92	PrivateHealth	9
Pulmonology	2026	Ρ05Χ	6420	713.34	7133.34	PrivateHealth	3
Gastroenterology	2026	Κ39Μ	5072	2324.63	7396.63	PrivateHealth	4
Pediatrics	2026	Δ20Μ	21352	6672.40	28024.40	PrivateHealth	8
ENT	2026	Μ09Μ	29440	3271.12	32711.12	PrivateHealth	2
Internal Medicine	2026	Ν02Μα	7730	0.00	7730.00	PrivateHealth	1
Cardiology	2025	Θ04Μ	26268	8208.75	34476.75	ArmyFund	6
Surgery	2025	Π27Μ	17647	2941.12	20588.12	ArmyFund	7
ICU	2025	Κ32Μ	14434	3350.75	17784.75	ArmyFund	7
Emergency	2025	Κ42Μ	12324	0.00	12324.00	ArmyFund	6
Neurology	2025	Δ08Χ	2373	0.00	2373.00	ArmyFund	3
Orthopedics	2025	Ζ02Μ	57800	8429.19	66229.19	ArmyFund	8
Pulmonology	2025	Ν27Μβ	7842	4738.02	12580.02	ArmyFund	6
Gastroenterology	2025	Ω04Χ	15472	6769.00	22241.00	ArmyFund	8
Oncology	2025	Κ10Χ	13620	6129.00	19749.00	ArmyFund	5
Pediatrics	2025	Ω32Α	1790	179.00	1969.00	ArmyFund	5
Ophthalmology	2025	Κ42Μ	12324	1848.60	14172.60	ArmyFund	6
ENT	2025	Δ13Χ	915	0.00	915.00	ArmyFund	1
Nephrology	2025	Ο23Α	5460	3780.00	9240.00	ArmyFund	13
Internal Medicine	2025	Π28Α	870	1740.00	2610.00	ArmyFund	3
Cardiology	2026	Α10Χ	50897	14459.50	65356.50	ArmyFund	11
Surgery	2026	Φ26Χ	2484	414.00	2898.00	ArmyFund	3
ICU	2026	Υ09Χβ	2070	1552.50	3622.50	ArmyFund	2
Emergency	2026	Κ42Μ	20540	0.00	20540.00	ArmyFund	10
Neurology	2026	Β01Χ	37596	19521.00	57117.00	ArmyFund	13
Orthopedics	2026	Μ04Μ	42252	4694.64	46946.64	ArmyFund	6
Pulmonology	2026	Ν30Μβ	13020	3926.73	16946.73	ArmyFund	7
Gastroenterology	2026	Η42Μ	13566	2907.00	16473.00	ArmyFund	7
Oncology	2026	Ν23Α	8436	1135.61	9571.61	ArmyFund	4
Pediatrics	2026	Κ12Χ	22164	18470.00	40634.00	ArmyFund	6
Ophthalmology	2026	Ν24Μ	4778	0.00	4778.00	ArmyFund	2
ENT	2026	Μ78Μ	14630	5852.16	20482.16	ArmyFund	10
Nephrology	2026	Α35Χ	1900	1662.50	3562.50	ArmyFund	4
Psychiatry	2026	Ε12Α	57726	29932.00	87658.00	ArmyFund	9
Internal Medicine	2026	Β04Α	4564	6520.00	11084.00	ArmyFund	7
Surgery	2025	Φ26Χ	4140	4140.00	8280.00	ArmyFund	5
ICU	2025	Τ27Χ	1284	1284.03	2568.03	ArmyFund	3
Neurology	2025	Β01Χ	28920	11568.00	40488.00	ArmyFund	10
Orthopedics	2025	Ω12Α	3784	4730.00	8514.00	ArmyFund	4
Pulmonology	2025	Ξ20Χα	1572	1310.00	2882.00	ArmyFund	2
Gastroenterology	2025	Θ09Χβ	3530	0.00	3530.00	ArmyFund	2
Oncology	2025	Α27Μ	3456	648.00	4104.00	ArmyFund	4
Ophthalmology	2025	Ρ01Α	1772	3544.00	5316.00	ArmyFund	4
ENT	2025	Α34Μβ	9751	2587.00	12338.00	ArmyFund	7
Psychiatry	2025	Ε12Α	57726	23518.00	81244.00	ArmyFund	9
Internal Medicine	2025	Η20Μ	24927	2913.57	27840.57	ArmyFund	7
Surgery	2026	Π27Μ	27731	3781.44	31512.44	ArmyFund	11
Pulmonology	2026	Ν27Μβ	7842	1960.56	9802.56	ArmyFund	6
Gastroenterology	2026	Κ39Μ	6340	3592.61	9932.61	ArmyFund	5
Oncology	2026	Κ10Χ	10896	4086.00	14982.00	ArmyFund	4
Pediatrics	2026	Ω32Α	1074	895.00	1969.00	ArmyFund	3
Ophthalmology	2026	Δ07Α	3025	2420.00	5445.00	ArmyFund	5
ENT	2026	Μ09Μ	44160	11448.92	55608.92	ArmyFund	3
Nephrology	2026	Ν06Μ	3297	0.00	3297.00	ArmyFund	1
Internal Medicine	2026	Η20Μ	24927	3561.03	28488.03	ArmyFund	7
Cardiology	2025	Υ22Μ	5884	2521.68	8405.68	ArmyFund	4
Surgery	2025	Γ06Μ	11543	6183.75	17726.75	ArmyFund	7
ICU	2025	Υ09Χβ	4140	2070.00	6210.00	ArmyFund	4
Emergency	2025	Ε10Α	752072	24372.74	776444.74	ArmyFund	8
Neurology	2025	Α02Χ	2732	683.00	3415.00	ArmyFund	4
Orthopedics	2025	Μ05Χ	12202	8541.40	20743.40	ArmyFund	2
Pulmonology	2025	Ν30Μβ	9300	0.00	9300.00	ArmyFund	5
Gastroenterology	2025	Μ19Χ	1904	0.00	1904.00	ArmyFund	1
Oncology	2025	Ν30Α	1680	630.00	2310.00	ArmyFund	4
Surgery	2026	Θ08Α	952	952.00	1904.00	ArmyFund	1
ICU	2026	Κ32Μ	16496	2835.25	19331.25	ArmyFund	8
Emergency	2026	S01Μ	7239	0.00	7239.00	ArmyFund	3
Neurology	2026	Α02Χ	6147	7513.00	13660.00	ArmyFund	9
Oncology	2026	Ν04Χ	4940	3705.00	8645.00	ArmyFund	2
Pediatrics	2026	Δ12Μ	14613	2117.80	16730.80	ArmyFund	3
Nephrology	2026	Ζ20Α	482	964.00	1446.00	ArmyFund	2
Psychiatry	2026	Κ11Χ	19338	3683.36	23021.36	ArmyFund	6
Cardiology	2025	Α10Χ	32389	7518.94	39907.94	Uninsured	7
Surgery	2025	Π27Μ	17647	2100.80	19747.80	Uninsured	7
ICU	2025	Υ09Χβ	4140	3622.50	7762.50	Uninsured	4
Emergency	2025	Κ42Μ	12324	0.00	12324.00	Uninsured	6
Neurology	2025	Α02Χ	5464	7513.00	12977.00	Uninsured	8
Orthopedics	2025	Μ05Χ	18303	9761.60	28064.60	Uninsured	3
Pulmonology	2025	Ξ20Χα	2358	2096.00	4454.00	Uninsured	3
Gastroenterology	2025	Μ19Χ	3808	3808.00	7616.00	Uninsured	2
Oncology	2025	Κ03Μ	138861	14087.43	152948.43	Uninsured	9
Pediatrics	2025	Δ20Μ	26690	4003.44	30693.44	Uninsured	10
Ophthalmology	2025	Δ25Χ	700	0.00	700.00	Uninsured	2
ENT	2025	Δ13Χ	4575	1830.00	6405.00	Uninsured	5
Nephrology	2025	Α35Χ	475	950.00	1425.00	Uninsured	1
Cardiology	2026	Α10Χ	32389	9254.08	41643.08	Uninsured	7
Surgery	2026	Θ08Α	2856	3808.00	6664.00	Uninsured	3
ICU	2026	S24Χ	432	648.00	1080.00	Uninsured	2
Emergency	2026	Ε10Α	1034099	33077.29	1067176.29	Uninsured	11
Neurology	2026	Κ39Χ	1962	981.00	2943.00	Uninsured	6
Orthopedics	2026	Μ05Χ	30505	10981.80	41486.80	Uninsured	5
Pulmonology	2026	Ξ20Χα	1572	1310.00	2882.00	Uninsured	2
Gastroenterology	2026	Υ05Χ	11000	7333.26	18333.26	Uninsured	11
Oncology	2026	Ν30Α	1680	1260.00	2940.00	Uninsured	4
Pediatrics	2026	Δ20Μ	26690	4503.87	31193.87	Uninsured	10
Ophthalmology	2026	Δ07Α	1815	3630.00	5445.00	Uninsured	3
ENT	2026	Μ07Α	10470	1246.45	11716.45	Uninsured	2
Psychiatry	2026	Κ11Χ	25784	920.84	26704.84	Uninsured	8
Internal Medicine	2026	Β04Α	3912	7172.00	11084.00	Uninsured	6
Surgery	2025	Γ06Μ	14841	4947.00	19788.00	Uninsured	9
ICU	2025	Ω34Α	1728	4032.00	5760.00	Uninsured	6
Neurology	2025	Β01Χ	14460	4338.00	18798.00	Uninsured	5
Orthopedics	2025	Μ04Μ	56336	13301.48	69637.48	Uninsured	8
Pulmonology	2025	Υ20Μβ	3900	2166.70	6066.70	Uninsured	3
Gastroenterology	2025	Θ09Χβ	8825	5294.97	14119.97	Uninsured	5
Pediatrics	2025	Κ12Χ	14776	0.00	14776.00	Uninsured	4
Ophthalmology	2025	Ρ05Μβ	3050	0.00	3050.00	Uninsured	1
Cardiology	2026	Υ22Μ	5884	3782.52	9666.52	Uninsured	4
Surgery	2026	Π27Μ	17647	2310.88	19957.88	Uninsured	7
ICU	2026	Κ32Μ	18558	7990.25	26548.25	Uninsured	9
Emergency	2026	Κ42Μ	12324	0.00	12324.00	Uninsured	6
Neurology	2026	Ω02Μα	10840	3449.11	14289.11	Uninsured	2
Orthopedics	2026	Μ04Μ	35210	13301.48	48511.48	Uninsured	5
Pulmonology	2026	Ρ05Χ	6420	6776.73	13196.73	Uninsured	3
Oncology	2026	Κ03Μ	138861	12074.94	150935.94	Uninsured	9
Ophthalmology	2026	Ρ01Α	3101	3101.00	6202.00	Uninsured	7
ENT	2026	Π06Α	2074	691.34	2765.34	Uninsured	2
Psychiatry	2026	Ε12Α	32070	19242.00	51312.00	Uninsured	5
Surgery	2025	Θ08Α	2856	1904.00	4760.00	Uninsured	3
ICU	2025	Κ32Μ	18558	2835.25	21393.25	Uninsured	9
Orthopedics	2025	Μ71Χ	810	202.50	1012.50	Uninsured	2
Pulmonology	2025	Μ64Χ	8225	1175.04	9400.04	Uninsured	7
Gastroenterology	2025	Ω04Χ	11604	10637.00	22241.00	Uninsured	6
Oncology	2025	Κ10Χ	19068	12258.00	31326.00	Uninsured	7
Ophthalmology	2025	Κ42Μ	18486	2875.60	21361.60	Uninsured	9
Psychiatry	2025	Σ03Χ	1099	366.33	1465.33	Uninsured	1
Cardiology	2026	Θ04Μ	39402	5472.50	44874.50	Uninsured	9
ICU	2026	Υ09Χβ	6210	5175.00	11385.00	Uninsured	6
Emergency	2027	Ε10Α	94009	6963.64	100972.64	Uninsured	1
Neurology	2026	Α02Χ	4098	4098.00	8196.00	Uninsured	6
Orthopedics	2027	Ζ02Μ	14450	1605.56	16055.56	Uninsured	2
Pulmonology	2026	Ν27Μβ	2614	653.52	3267.52	Uninsured	2
Gastroenterology	2026	Θ09Χβ	8825	5883.30	14708.30	Uninsured	5
Pediatrics	2027	Δ20Μ	5338	0.00	5338.00	Uninsured	2
ENT	2027	Μ09Μ	14720	1635.56	16355.56	Uninsured	1
Nephrology	2026	Α35Χ	1425	950.00	2375.00	Uninsured	3
Cardiology	2025	Α10Χ	9254	3470.28	12724.28	StudentFund	2
Surgery	2025	Γ06Μ	11543	4534.75	16077.75	StudentFund	7
ICU	2025	Κ32Μ	14434	2319.75	16753.75	StudentFund	7
Emergency	2025	Κ42Μ	14378	0.00	14378.00	StudentFund	7
Neurology	2025	Β01Χ	20244	10122.00	30366.00	StudentFund	7
Pulmonology	2025	Υ20Μβ	6500	1516.69	8016.69	StudentFund	5
Gastroenterology	2025	Ω04Χ	11604	13538.00	25142.00	StudentFund	6
Oncology	2025	Κ03Μ	77145	4695.81	81840.81	StudentFund	5
Pediatrics	2025	Ω32Α	2506	1790.00	4296.00	StudentFund	7
Ophthalmology	2025	Ρ01Α	3544	3987.00	7531.00	StudentFund	8
ENT	2025	Μ78Μ	13167	4572.00	17739.00	StudentFund	9
Nephrology	2025	Ν06Μ	3297	253.62	3550.62	StudentFund	1
Psychiatry	2025	Κ11Χ	25784	2071.89	27855.89	StudentFund	8
Internal Medicine	2025	Η20Μ	21366	3884.76	25250.76	StudentFund	6
Cardiology	2026	Χ20Α	1036	1628.00	2664.00	StudentFund	7
Surgery	2026	Δ01Χ	19356	5735.12	25091.12	StudentFund	3
Emergency	2026	Ε10Α	470045	8704.55	478749.55	StudentFund	5
Orthopedics	2026	Ζ02Μ	72250	14450.04	86700.04	StudentFund	10
Pulmonology	2026	Ξ20Χα	1572	524.00	2096.00	StudentFund	2
Gastroenterology	2026	Κ39Μ	3804	3381.28	7185.28	StudentFund	3
Pediatrics	2026	Η44Μ	2396	1797.03	4193.03	StudentFund	2
Ophthalmology	2026	Ρ01Α	3101	3101.00	6202.00	StudentFund	7
Nephrology	2026	Ζ20Α	964	1446.00	2410.00	StudentFund	4
